estrutura,n,adicionar,remover,aumentar,diminuir
Fila (Array),0,2.1070000002509914e-06,1.0109997674589977e-06,6.535600005008746e-05,3.3019996408256702e-06
Fila (Array),50,1.409800006513251e-05,2.245799987576902e-05,3.117999767709989e-06,2.4780001695035025e-06
Fila (Array),100,1.4835000001767185e-05,2.7105000299343374e-05,3.0319997676997446e-06,2.4419996407232247e-06
Fila (Array),150,1.9316000361868646e-05,4.3312000343576074e-05,2.475999281159602e-06,2.5600002118153498e-06
Fila (Array),200,2.3741000404697843e-05,5.7953000577981584e-05,6.221599960554158e-05,2.871000106097199e-06
Fila (Array),250,2.7267999939795118e-05,8.225199962907936e-05,2.706000486796256e-06,2.8399999791872688e-06
Fila (Array),300,3.3366000025125686e-05,9.302699982072227e-05,2.930999471573159e-06,3.976999323640484e-06
Fila (Array),350,3.5056999877269845e-05,0.00011077900035161292,2.9080001695547253e-06,3.7299996620276943e-06
Fila (Array),400,3.960799949709326e-05,0.00013255600060801953,4.228000761941075e-06,5.2340001275297254e-06
Fila (Array),450,4.5621000026585534e-05,0.00016457599940622458,3.948999619751703e-06,5.603999852610286e-06
Fila (Array),500,5.07160002598539e-05,0.0001808260003599571,4.160000571573619e-06,6.272000064200256e-06
Fila (Array),550,5.42799998584087e-05,0.00020637999932660023,4.411999725562055e-06,6.997000127739739e-06
Fila (Array),600,5.956699988018954e-05,0.00022993799939285964,4.257999535184354e-06,6.926000423845835e-06
Fila (Array),650,6.389500049408525e-05,0.00025529100003041094,4.159999662078917e-06,7.3310002335347235e-06
Fila (Array),700,6.819499958510278e-05,0.0002902870000980329,4.633000571629964e-06,8.085999979812186e-06
Fila (Array),750,7.293100043170853e-05,0.00031606500033376506,4.636000085156411e-06,8.865999916451983e-06
Fila (Array),800,8.453600003122119e-05,0.0003887709999617073,5.280999175738543e-06,9.937999493558891e-06
Fila (Array),850,0.00010598799963190686,0.00038856000082887476,6.6470001911511645e-06,1.2466000043787062e-05
Fila (Array),900,0.00011810799969680374,0.00041634399985923665,7.173000085458625e-06,1.1238000297453254e-05
Fila (Array),950,9.25839995034039e-05,0.00045992400009708945,5.924999641138129e-06,1.1568000445549842e-05
Fila (Array),1000,9.721799960971111e-05,0.000489074000142864,5.839000550622586e-06,1.1860000086016953e-05
Fila (Array),1050,0.00011904300026799319,0.0005380559996410739,6.627000402659178e-06,1.3129999388183933e-05
Fila (Array),1100,0.00010346499948354904,0.0005806690005556447,8.818999958748464e-06,1.3961000149720348e-05
Fila (Array),1150,0.00010906700026680483,0.0007280159998117597,1.594500008650357e-05,2.1384000319812912e-05
Fila (Array),1200,0.0001271740002266597,0.0007454259994119639,1.4782000107516069e-05,1.6953999875113368e-05
Fila (Array),1250,0.00016950900044321315,0.0008934830002544913,2.470399977028137e-05,2.483200023561949e-05
Fila (Array),1300,0.00016117300037876703,0.0009527080001134891,1.3201000001572538e-05,1.907499972730875e-05
Fila (Array),1350,0.00013892099923396017,0.000904106999769283,1.5591999726893846e-05,2.1531999664148316e-05
Fila (Array),1400,0.00015614399944752222,0.0009919929998432053,1.3546000445785467e-05,2.098400000249967e-05
Fila (Array),1450,0.00016302800031553488,0.001061076000041794,1.533900012873346e-05,2.1687000298697967e-05
Fila (Array),1500,0.000231686000006448,0.0011762200001612655,1.1221999557164963e-05,2.3924000743136276e-05
Fila (Array),1550,0.000214508000681235,0.0012703769998552161,1.3718000445805956e-05,2.48910000664182e-05
Fila (Array),1600,0.0002160260000891867,0.0012471500003812253,1.2547000551421661e-05,2.2881999939272646e-05
Fila (Array),1650,0.00020180100000288803,0.0013752149998254026,2.0282000150473323e-05,3.1213000511343125e-05
Fila (Array),1700,0.00023452200002793688,0.0017715209996822523,1.8353000086790416e-05,2.827500065905042e-05
Fila (Array),1750,0.00024641500021971297,0.0014947270001357538,1.5914999494270887e-05,3.611000011005672e-05
Fila (Array),1800,0.00035627099987323163,0.0020834169999943697,4.550100038613891e-05,4.581299981509801e-05
Fila (Array),1850,0.00022290099968813593,0.0016243860000031418,1.4896999346092343e-05,2.9028999961155932e-05
Fila (Array),1900,0.00021538399960263632,0.0016448719998152228,1.5346000509453006e-05,2.6515999707044102e-05
Fila (Array),1950,0.0002362750001339009,0.002064286999484466,2.098599998134887e-05,3.3178999728988856e-05
Fila (Array),2000,0.00022010099928593263,0.0019183670001439168,2.2496999918075744e-05,6.104000021878164e-05
Fila (Array),2050,0.00024383799973293208,0.0019411690000197268,4.679500034399098e-05,0.00010208499952568673
Fila (Array),2100,0.0004035440006191493,0.002116281000780873,2.6935000278172083e-05,3.7290999898687005e-05
Fila (Array),2150,0.0003329400005895877,0.002313133999450656,2.2869000531500205e-05,3.5931000638811383e-05
Fila (Array),2200,0.000452125999800046,0.0024372070001845714,2.436500017211074e-05,3.687699972942937e-05
Fila (Array),2250,0.00045100299939804245,0.002731112000219582,2.5672999981907196e-05,4.6552000640076585e-05
Fila (Array),2300,0.0003721670000231825,0.0030050790001041605,2.8340999961073976e-05,4.953600000590086e-05
Fila (Array),2350,0.0004063300002599135,0.0026968190004481585,2.4996999854920432e-05,4.1447000512562227e-05
Fila (Array),2400,0.00034947799940709956,0.0025938819999282714,1.6730999959690962e-05,3.7337000321713276e-05
Fila (Array),2450,0.0003360310001880862,0.002994923999722232,7.872500009398209e-05,0.0002507290000721696
Fila (Array),2500,0.00042945499990310054,0.0032606929999019485,4.3232999814790674e-05,7.920699954411248e-05
Fila (Array),2550,0.00049907499942492,0.0031871670007603825,5.576700004894519e-05,8.74639999892679e-05
Fila (Array),2600,0.00042875999952229904,0.0029678920000151265,2.3038999643176794e-05,4.179999996267725e-05
Fila (Array),2650,0.0005694530000255327,0.004751337000016065,0.00011075400016125059,0.00016923399925872218
Fila (Array),2700,0.0005102060003991937,0.0036301650006862474,4.857599924434908e-05,6.431099973269738e-05
Fila (Array),2750,0.0003591470003811992,0.0034288360002392437,2.0986999516026117e-05,4.528299996309215e-05
Fila (Array),2800,0.0004250640004102024,0.0036478460006037494,0.00011796400031016674,0.00010853699950530427
Fila (Array),2850,0.000496879000820627,0.004288102999453258,3.4237999898323324e-05,4.991799960407661e-05
Fila (Array),2900,0.00034197900004073745,0.003731799999513896,2.1935999939159956e-05,4.584499947668519e-05
Fila (Array),2950,0.00033986600010393886,0.004553300000225136,0.000104228000054718,0.00011278799956926377
Fila (Array),3000,0.00038122299974929774,0.004595834000610921,2.4250999558717012e-05,5.2789000619668514e-05
Fila (Array),3050,0.0003657549996205489,0.004097547000128543,6.24919994152151e-05,0.0001415899996572989
Fila (Array),3100,0.0004955959993822034,0.004964427999766485,9.155399948213017e-05,0.00011477799944259459
Fila (Array),3150,0.0004137309997531702,0.004480210000110674,2.0296000002417713e-05,4.841899954044493e-05
Fila (Array),3200,0.00037891700048930943,0.004693971000051533,2.329499966435833e-05,5.145699924469227e-05
Fila (Array),3250,0.00039887499951873906,0.004957949000527151,3.6406999242899474e-05,7.972500043251785e-05
Fila (Array),3300,0.00044599200009542983,0.0050891139999293955,2.424200010864297e-05,5.540300026041223e-05
Fila (Array),3350,0.0004121370002394542,0.005638570999508374,7.168299998738803e-05,0.00016828099978738464
Fila (Array),3400,0.0004509330001383205,0.005626609000501048,2.883300021494506e-05,6.547300017700763e-05
Fila (Array),3450,0.0005407709995779442,0.006941583000298124,3.835799998341827e-05,7.595999977638712e-05
Fila (Array),3500,0.00047317499956989195,0.0061365580004348885,2.8914000722579658e-05,5.988999964756658e-05
Fila (Array),3550,0.000413927999943553,0.005916738999985682,3.0993999644124415e-05,0.00010148599994863616
Fila (Array),3600,0.0005090409995318623,0.006203111999639077,3.428699983487604e-05,7.906599967100192e-05
Fila (Array),3650,0.00046399699931498617,0.006802507999964291,3.202599964424735e-05,7.63890002417611e-05
Fila (Array),3700,0.0006218940006874618,0.006871796999803337,3.0473000151687302e-05,6.550400030391756e-05
Fila (Array),3750,0.0004524329997366294,0.007397829000183265,0.00010328500047762645,0.000135876000058488
Fila (Array),3800,0.0006280949992287788,0.007377202000498073,3.040999945369549e-05,6.437499996536644e-05
Fila (Array),3850,0.0005168180005057366,0.009390072999849508,0.00013093699999444652,0.00019151699962094426
Fila (Array),3900,0.0005178560004424071,0.008059241999944788,4.311300017434405e-05,7.818599988240749e-05
Fila (Array),3950,0.0004943270005242084,0.007945349000692659,4.2454999857000075e-05,6.733899954269873e-05
Fila (Array),4000,0.0004458920002434752,0.009158607000244956,5.2254999900469556e-05,8.16670008134679e-05
Fila (Array),4050,0.0006015990002197213,0.007977528000083112,7.42110005376162e-05,0.00010397599999123486
Fila (Array),4100,0.0006992449998506345,0.008507485999871278,4.0564999835623894e-05,6.481299988081446e-05
Fila (Array),4150,0.00045602999944094336,0.0102223949998006,0.0002716839999266085,0.0003876900000250316
Fila (Array),4200,0.0008279080002466799,0.009708732999570202,4.6733999624848366e-05,7.482000000891276e-05
Fila (Array),4250,0.0005502479998540366,0.009388036999553151,4.561700006888714e-05,7.34309996914817e-05
Fila (Array),4300,0.0005020640001021093,0.010713882999880298,0.00011648899999272544,0.00018125299993698718
Fila (Array),4350,0.0005663590000040131,0.010472599000422633,0.00013294499967742013,0.00019342399991728598
Fila (Array),4400,0.0005818190002173651,0.010575434999736899,4.899600025964901e-05,7.62939998821821e-05
Fila (Array),4450,0.0009469339993302128,0.009936231000210682,4.5865999709349126e-05,7.74750005803071e-05
Fila (Array),4500,0.0006278800001382479,0.011530814000252576,0.0001796690003175172,0.00022842299949843436
Fila (Array),4550,0.0006227419999049744,0.010785328000565642,5.640400013362523e-05,8.663000062369974e-05
Fila (Array),4600,0.0005762609998782864,0.011547742999937327,0.00014842299970041495,0.00019242300004407298
Fila (Array),4650,0.0009293270004491205,0.012079045999598748,7.652099975530291e-05,0.0001624770002308651
Fila (Array),4700,0.0006487700002253405,0.011396312000215403,0.0001371569996990729,0.00010954600020340877
Fila (Array),4750,0.0010447920003571198,0.012433060999683221,0.0002720279999266495,0.000334340000335942
Fila (Array),4800,0.0006012429994370905,0.012349236999398272,5.709400011255639e-05,8.825700024317484e-05
Fila (Array),4850,0.0008006649995877524,0.012610290000338864,5.104299998492934e-05,8.471000001009088e-05
Fila (Array),4900,0.0005575660006797989,0.013316536000274937,5.041799977334449e-05,8.77110005603754e-05
Fila (Array),4950,0.0005742029998145881,0.01357681900026364,5.1744999836955685e-05,0.00012620899997273227
Fila (Array),5000,0.0005649770000673016,0.01439815399953659,5.1682000048458576e-05,9.075100024347194e-05
Fila (LinkedList),0,1.5850000636419281e-06,6.160007615108043e-07,3.713999831234105e-06,3.0399996830965392e-06
Fila (LinkedList),50,5.587199939327547e-05,2.6784999135998078e-05,6.374099939421285e-05,3.1178999961412046e-05
Fila (LinkedList),100,6.14219998169574e-05,3.5491999369696714e-05,0.00012233300003572367,6.143200062069809e-05
Fila (LinkedList),150,8.519999937561806e-05,5.1144000281055924e-05,0.00019411899938859278,9.47700000324403e-05
Fila (LinkedList),200,0.00011090099997090874,6.673400002910057e-05,0.00041011400026036426,0.00012728199999401113
Fila (LinkedList),250,0.00013821299944538623,8.647799950267654e-05,0.0003585229997042916,0.00016099500044219894
Fila (LinkedList),300,0.00016764899919508025,0.00010824900073203025,0.0005008979997001006,0.0002085249998344807
Fila (LinkedList),350,0.00021108899909449974,0.00019367000004422152,0.0007413869998345035,0.000256584999988263
Fila (LinkedList),400,0.00023709400011284743,0.00013694100016437005,0.0006626880003750557,0.0004028960001960513
Fila (LinkedList),450,0.000411677000556665,0.00021505799941223813,0.09103679099916917,0.0003847620000669849
Fila (LinkedList),500,0.0007041649996608612,0.00021405100051197223,0.0008722700004000217,0.0003957939998144866
Fila (LinkedList),550,0.00046893800026737154,0.00021765000019513536,0.000863031000335468,0.0006941259998711757
Fila (LinkedList),600,0.0004858070005866466,0.0002476999998179963,0.0009176940002362244,0.0004318870005590725
Fila (LinkedList),650,0.000539310000021942,0.0002489380003680708,0.0012903980004921323,0.0005930459992669057
Fila (LinkedList),700,0.0005939949996900395,0.0002707309995457763,0.001098651000575046,0.0006309520003924263
Fila (LinkedList),750,0.0006906379994688905,0.000534742000127153,0.0018773339998006122,0.0005724840002585552
Fila (LinkedList),800,0.0006689660003758036,0.0003034270002899575,0.0011188590005986043,0.0005507289997694897
Fila (LinkedList),850,0.0005574799997702939,0.00033101200006058207,0.0011883580000358052,0.0005812039999000262
Fila (LinkedList),900,0.0005754419998993399,0.0004034389994558296,0.0015126540001801914,0.0006063359996915096
Fila (LinkedList),950,0.0011603000002651243,0.0003728100000444101,0.0014533149997077999,0.0007155840003179037
Fila (LinkedList),1000,0.0007452680001733825,0.00037889699979132274,0.001818740000089747,0.0006631420001212973
Fila (LinkedList),1050,0.0007286509999175905,0.00039090999962354545,0.0017629769999985,0.0007157029995141784
Fila (LinkedList),1100,0.0007057859993437887,0.0004693219998443965,0.0018810080000548624,0.0008631390001028194
Fila (LinkedList),1150,0.0008299900000565685,0.0004342859992902959,0.001513336999778403,0.0008615499991719844
Fila (LinkedList),1200,0.0007938340004329802,0.0006339960000332212,0.0027670629997373908,0.0013004109996472835
Fila (LinkedList),1250,0.0008048820000112755,0.0004345500001363689,0.0022316200002023834,0.0009609509997972054
Fila (LinkedList),1300,0.0008947899996201159,0.00044818900005338946,0.0024186110003938666,0.0014126289997875574
Fila (LinkedList),1350,0.0010212239994871197,0.000519003000590601,0.0020933329997205874,0.0010322799998903065
Fila (LinkedList),1400,0.0014093310001044301,0.0004884079999101232,0.0024336059996130643,0.0016758399997343076
Fila (LinkedList),1450,0.0019013689998246264,0.0009807819997149636,0.00266420299976744,0.0011440010002843337
Fila (LinkedList),1500,0.00109206599972822,0.0005218879996391479,0.003573193000192987,0.0024722829994061613
Fila (LinkedList),1550,0.0012657190000027185,0.0006618919996981276,0.002843672999915725,0.0013962399998490582
Fila (LinkedList),1600,0.001526948999526212,0.0006597770006919745,0.00308013599988044,0.0013761350001004757
Fila (LinkedList),1650,0.0013543300001401803,0.0006393379999281024,0.0028403480000633863,0.0012246880005477578
Fila (LinkedList),1700,0.001201164999656612,0.0006007490001138649,0.0037482329998965724,0.0017479059997640434
Fila (LinkedList),1750,0.0021788590001960983,0.000773356000536296,0.003227373000299849,0.0014984889994593686
Fila (LinkedList),1800,0.0013397069997154176,0.001473764000365918,0.0040250239999295445,0.0012500330003604176
Fila (LinkedList),1850,0.0012899789999210043,0.0007414020001306199,0.0039085100006559514,0.0013737160006712656
Fila (LinkedList),1900,0.0015217660002235789,0.0006848729999546777,0.003329285000290838,0.0020904400007566437
Fila (LinkedList),1950,0.001517374999821186,0.0010562989991740324,0.004494683999837434,0.0014277749996836064
Fila (LinkedList),2000,0.0017518069998914143,0.0017609180004001246,0.004545080999378115,0.0014163420000841143
Fila (LinkedList),2050,0.002344167000046582,0.001696819999779109,0.004561741000543407,0.001404738999553956
Fila (LinkedList),2100,0.0016297350002787425,0.0009145770000031916,0.06863726699975814,0.002143844999409339
Fila (LinkedList),2150,0.0019091670001216698,0.0008849670002746279,0.004129427000407304,0.0024582769992775866
Fila (LinkedList),2200,0.0034383150004941854,0.0015725170005680411,0.005232411000179127,0.0032652850004524225
Fila (LinkedList),2250,0.0032771329997558496,0.0020287019997340394,0.0062432770000668825,0.0020638679998228326
Fila (LinkedList),2300,0.002952501000436314,0.0025824490003287792,0.005152178000571439,0.0019414930002312758
Fila (LinkedList),2350,0.0021635820003211848,0.0014990350000516628,0.003634604000581021,0.0020040460003656335
Fila (LinkedList),2400,0.002016055000240158,0.0010934890005955822,0.005145504000211076,0.0019554979999156785
Fila (LinkedList),2450,0.0041160139999192324,0.00214133600002242,0.00876794199939468,0.0032863019996511866
Fila (LinkedList),2500,0.001808552000511554,0.0009275349993913551,0.006281189000219456,0.0022196529998836922
Fila (LinkedList),2550,0.00202707999960694,0.0016718750002837623,0.005922179000663164,0.0020921049999742536
Fila (LinkedList),2600,0.0018584849995022523,0.0014266240004872088,0.0048468279992448515,0.0035833090005326085
Fila (LinkedList),2650,0.0017575519996171352,0.0016811460000099032,0.005176747999939835,0.002016516000367119
Fila (LinkedList),2700,0.0017672439998932532,0.000989572000435146,0.007090742999935173,0.002371368999774859
Fila (LinkedList),2750,0.0017912499997692066,0.0019329490005475236,0.006154180000521592,0.0019534980001481017
Fila (LinkedList),2800,0.001819752999836055,0.002278764000038791,0.006102002000261564,0.0026180999993812293
Fila (LinkedList),2850,0.003151935000460071,0.0022315999995043967,0.007703615999162139,0.0021382200002335594
Fila (LinkedList),2900,0.0019160990004820633,0.0011023099996236851,0.00519688300028065,0.0027711909997378825
Fila (LinkedList),2950,0.0024752569997872342,0.0014606679997086758,0.005917526000303042,0.0022828620003565447
Fila (LinkedList),3000,0.0031816259997867746,0.0017618649999349145,0.005676296999808983,0.0028193939997436246
Fila (LinkedList),3050,0.0030380099997273646,0.0011641289993349346,0.006537107000440301,0.0024931269999797223
Fila (LinkedList),3100,0.002104588000293006,0.0014303110001492314,0.005922695000663225,0.0021968299997752183
Fila (LinkedList),3150,0.0027043469999625813,0.0015780459998495644,0.005535383999813348,0.002255521999359189
Fila (LinkedList),3200,0.00210235700069461,0.0019840620007016696,0.07307829900037177,0.004008531000181392
Fila (LinkedList),3250,0.0028933889998370432,0.00172349199965538,0.00743620000048395,0.004604740000104357
Fila (LinkedList),3300,0.0024052899998423527,0.0015064510007505305,0.005981446999612672,0.0027800959996966412
Fila (LinkedList),3350,0.0022020460000931052,0.0017746089997672243,0.005027717999837478,0.002514573000553355
Fila (LinkedList),3400,0.0033669960002953303,0.0019770979997701943,0.006236513000658306,0.004769490999933623
Fila (LinkedList),3450,0.0028079960002287407,0.0013124540000717388,0.007735523000519606,0.0027341530003468506
Fila (LinkedList),3500,0.0025684420006655273,0.002630567000778683,0.07701827199980471,0.00405654600035632
Fila (LinkedList),3550,0.0029541630001403973,0.003125683999314788,0.01149738599997363,0.006096680000155175
Fila (LinkedList),3600,0.005684820999704243,0.003155023000545043,0.01230272300017532,0.006241119999685907
Fila (LinkedList),3650,0.005717742000342696,0.003886587000124564,0.012518835999799194,0.005807561999972677
Fila (LinkedList),3700,0.006322348000139755,0.0031451470003958093,0.006174182999529876,0.0033301470002697897
Fila (LinkedList),3750,0.003462580999439524,0.0017349479994663852,0.01390135800011194,0.007656773999769939
Fila (LinkedList),3800,0.06858780800030218,0.0018373370003246237,0.006561942000189447,0.00297172499995213
Fila (LinkedList),3850,0.0029234619996714173,0.0016336959997715894,0.006367993999447208,0.004194958999505616
Fila (LinkedList),3900,0.0028171899994049454,0.0017040650000126334,0.008085716000096,0.003757379000489891
Fila (LinkedList),3950,0.0026350099997216603,0.0023469269999623066,0.007002192000072682,0.0033402689996364643
Fila (LinkedList),4000,0.003442432000156259,0.0016859749994182494,0.07274785299978248,0.0038236999998844112
Fila (LinkedList),4050,0.003301693999674171,0.001993401000618178,0.0068381119999685325,0.003889594000611396
Fila (LinkedList),4100,0.004431070999999065,0.0014492169993900461,0.0095150150000336,0.0034536379998826305
Fila (LinkedList),4150,0.0031618709999747807,0.0032402339993495843,0.007121588000700285,0.005329125999196549
Fila (LinkedList),4200,0.0029310279996934696,0.0021991100002196617,0.008073771999988821,0.0038729620000594878
Fila (LinkedList),4250,0.003710004999447847,0.0016046689997892827,0.07672381800057337,0.003928932000235363
Fila (LinkedList),4300,0.003691714000524371,0.0022598360001211404,0.007270881000295049,0.005152018999979191
Fila (LinkedList),4350,0.0030768309998165932,0.0019522489992596093,0.008141995999721985,0.0035262830006104195
Fila (LinkedList),4400,0.004125927000131924,0.001660468999943987,0.01096349899944471,0.003567721000763413
Fila (LinkedList),4450,0.004060773000674089,0.0018385690000286559,0.007413663999614073,0.005656121999891184
Fila (LinkedList),4500,0.06811947000005603,0.0024377889994866564,0.007830833000298298,0.0041803539997999906
Fila (LinkedList),4550,0.0031224619997374248,0.0017003419998218305,0.008372495000003255,0.004490665000048466
Fila (LinkedList),4600,0.00310664300013741,0.0021768169999631937,0.007231493999825034,0.004759798999657505
Fila (LinkedList),4650,0.0034175789996879757,0.0017058809999070945,0.010027695000644599,0.004197983999802091
Fila (LinkedList),4700,0.0037721859998782747,0.002307610000571003,0.00880943400079559,0.003927173000192852
Fila (LinkedList),4750,0.0035884159997294773,0.0020934080002916744,0.0074727629998960765,0.004760009000165155
Fila (LinkedList),4800,0.0035388730002523516,0.0024988390005091787,0.0075512459998208215,0.004815084999790997
Fila (LinkedList),4850,0.003727338000317104,0.001871947999461554,0.008518146999449527,0.003671890999612515
Fila (LinkedList),4900,0.0037344519996622694,0.002435301999867079,0.009069037999324792,0.004035704000671103
Fila (LinkedList),4950,0.0037701850005760207,0.0019364189993211767,0.0073919540000133566,0.003853590999824519
Fila (LinkedList),5000,0.005241947000286018,0.0019805539996013977,0.011023846000171034,0.003758272999220935
